Yapmadıkça daha çok strese girdiğiniz ve strese girdikçe yapmadığınız şeyler? 😟;3
Her şeyden sıkılıp kitaplara sığınanlar fav;3
“Aman banane yaa” demeyi öğrendiğin zaman hayat daha yaşanılır bir yer oluyor 👌🏼;3
Gündüz vakti işe gitmeyi unuttuk 😞;3
Bu ara proje yapan yapana 😁;3
Serviste uyumak ne güzel şey her servise bindiğimde böyle verimli uyusam günde 2 saat garantilerim ama nerdeee️;3
Tam diş fırçalarken son birkaç haftadır ablamın kendinin sanıp o fırçayı kullandığını öğrenmem 🤦🏻‍️;3
“Kalkayım ama hemen gidip serviste uyuyayım” da olabilir 🤔;3
Yine bir kalkıyım ama hemen gidip serviste uyuyum sabahı 😴;3
Yihuuu 2018’i kapatırken güzel bir haber geldiiiii😍😍;3
Bıraktım oldurmaya çalışmıyorum iyi geliyor mu geliyor valla😁;3
Ben 4 kişinin yaptığı işi yapıyorumhesap tutuyorum tek tek yazıyoraklımda tutuyorumbilgisayarda yanlış tuşa basarsın hata yaparsın yazıyla yazarsan hata olmazbilgisayar işleri 1 gün geciktiriyor diyen bir amca oturuyor ön koltukta. Amca ben bilgisayar mühendisiyim desem mi🤔;3
Ben o fotoğrafı görünce üzülmedim aksine sevindim çünkü gözlerindeki ışığı görebiliyorum.;3
Konudan emin olmadan kendinden emin konuşanlara bir kez daha gıcık oldum şimdi bak😏;3
Karanlıkta kalkılan ızdırap dolu günler başladı 😞;3
İş çıkışı dağıtılan kandil simidi bir güzel gitti ki sormayın😌 kandiliniz mübarek olsun️;3
Yemek yerken internette takılmak istediğimde bi 3. elim olsa güzel olurmuş diyorum 👀;3
Saçmasapan konuşup böyle günlerde gündem olmaya çalışan gerizekalılardan hiç bahsetmeyip onları yok saymayı daha doğru buluyorum. Amaçlarına ulaşamasınlar gölge edemeyeceklerini bir kez daha anlasınlar!;3
Şükür 🙏🏻;3
Aslında eski yazısıymış benim yazıyla karşılaşmam iyi denk gelmiş😊;3
Amaaaaan ay hiç uğraşamam mode on. Bu halimi seviyorum️;3
Arşivdeki fotoğraflara bakarken içim acıyacak diye elim gitmedi desem?. O anı ölümsüzleştiriyim dönüp bakarım diye çektiğimiz fotoğraflar kaybettiklerimizin acısıyla bakılmayacak şeyler oluyormuş meğer...;3
Ülkede yine bir tane güzel haber yok yakında Twitter’a da girmeyi bırakıcam😒;3
Çalışmaya başlayınca zamanın yetmeyeceğini biliyorum o yüzden çalışmaya başlayamıyorum. Bu sorunsalın içinden nasıl çıkacağım🤦🏻‍️;3
Şu hayatta en çok kraldan çok kralcıları sevmedim.;3
Dün Slimani 2. golde topa baktı ofsaytta olduğunu fark etti hemen kaçtı ve kafayı attı anlatılmaz yaşanırdı yaşadım şükür😁;3
Dün Yaşar bugün Neşet Ertaş can çektiriyorsun Twitter ️;3
Hayatımızdakilerin saygısızlığı bize dert tasa olarak dönüyor😠 keşke herkes sınırlarını bilse 🤨;3
Peki ya kötülükler?;3
Her şeyi bir kenara bırakıp iyiliğe ve güzelliğe inanmak istiyor insan 🌸;3
Hayattan da bir süreliğine çevrimdışı olabilsek güzel olmaz mıydı🤮;3
2 sn geçseydi🤦🏻‍️;3
Öğrenememişim tekrar baktım “alçaklık” demekmiş 😒;3
Virüsler tarafından ele geçirildim 🤧 🤒;3
İnsanın kolu kanadı kırılıyor sanki😔;3
He anca onu yaparsın gerizekalı demek istediğim insanlar var😒;3
Bugün de denaet nedir öğrendik çok şükür😁;3
Hay allam ya ben ne kadar sevmiyorsam o kadar burnumun dibinde bitiyor hava gelsin diye açtığım camdan sigara kokusu geliyor🤦🏻‍️🤦🏻‍️🤦🏻‍️;3
Iyyy herkesi hemen aileden sanan vıcık vıcık tipler beni çok irite ediyor😏;3
Bilemiyorum Altan bilemiyorum.;3
Kötü haberlere bir yenisi daha eklendi bugün😞;3
Sosyal medya da insanın psikolojisini bozar oldu yavaş yavaş ondan da mı kaçsam?;3
Kahrolsun bağzı rüyalar👊🏼;3
